kn_ks	region	pop	species
0.212094177793968	WGS	YRI	H. sapiens
0.218377361824877	WGS	YRI	H. sapiens
0.216502324989289	WGS	YRI	H. sapiens
0.218934781312752	WGS	YRI	H. sapiens
0.216453335333245	WGS	YRI	H. sapiens
0.217212534793872	WGS	YRI	H. sapiens
0.218192696731819	WGS	YRI	H. sapiens
0.212781816598952	WGS	YRI	H. sapiens
0.221665834269412	WGS	YRI	H. sapiens
0.215785616270231	WGS	YRI	H. sapiens
0.215214123110943	WGS	YRI	H. sapiens
0.222159469950766	WGS	YRI	H. sapiens
0.213524281505082	WGS	YRI	H. sapiens
0.217271960745297	WGS	YRI	H. sapiens
0.212630268434685	WGS	YRI	H. sapiens
0.219062485962106	WGS	YRI	H. sapiens
0.218768996423081	WGS	YRI	H. sapiens
0.218215475354462	WGS	YRI	H. sapiens
0.218179707461638	WGS	YRI	H. sapiens
0.217359359402859	WGS	YRI	H. sapiens
0.214467319976512	WGS	YRI	H. sapiens
0.216280851701653	WGS	YRI	H. sapiens
0.216969276885465	WGS	YRI	H. sapiens
0.218989302747434	WGS	YRI	H. sapiens
0.212392096677907	WGS	YRI	H. sapiens
0.215385366627272	WGS	YRI	H. sapiens
0.219135431814807	WGS	YRI	H. sapiens
0.21990029066143	WGS	YRI	H. sapiens
0.217753645556394	WGS	YRI	H. sapiens
0.216333604926794	WGS	YRI	H. sapiens
0.215284323885429	WGS	YRI	H. sapiens
0.213298503519445	WGS	YRI	H. sapiens
0.216583887513461	WGS	YRI	H. sapiens
0.213057985182241	WGS	YRI	H. sapiens
0.216170615689531	WGS	YRI	H. sapiens
0.219483955799325	WGS	YRI	H. sapiens
0.217106313366739	WGS	YRI	H. sapiens
0.215320853262122	WGS	YRI	H. sapiens
0.217117702772583	WGS	YRI	H. sapiens
0.215922552422786	WGS	YRI	H. sapiens
0.217104173223352	WGS	YRI	H. sapiens
0.212578668328112	WGS	YRI	H. sapiens
0.217460414649332	WGS	YRI	H. sapiens
0.223638135878286	WGS	YRI	H. sapiens
0.216312340297507	WGS	YRI	H. sapiens
0.214613794176982	WGS	YRI	H. sapiens
0.217018988854763	WGS	YRI	H. sapiens
0.218212138054574	WGS	YRI	H. sapiens
0.217219172940614	WGS	YRI	H. sapiens
0.214550627602532	WGS	YRI	H. sapiens
0.219842839505504	WGS	YRI	H. sapiens
0.210956362167372	WGS	YRI	H. sapiens
0.217970819059004	WGS	YRI	H. sapiens
0.218453883320263	WGS	YRI	H. sapiens
0.059589045229817	DNABD	YRI	H. sapiens
0.0720806407870306	DNABD	YRI	H. sapiens
0.0513809601132337	DNABD	YRI	H. sapiens
0.0507830625017742	DNABD	YRI	H. sapiens
0.051490844481787	DNABD	YRI	H. sapiens
0.043760944415144	DNABD	YRI	H. sapiens
0.0671193820518112	DNABD	YRI	H. sapiens
0.0433039869535542	DNABD	YRI	H. sapiens
0.0541500909304534	DNABD	YRI	H. sapiens
0.0452648334459292	DNABD	YRI	H. sapiens
0.0625167284340524	DNABD	YRI	H. sapiens
0.0483829272475831	DNABD	YRI	H. sapiens
0.0596548054851902	DNABD	YRI	H. sapiens
0.0520127945284873	DNABD	YRI	H. sapiens
0.056692174847664	DNABD	YRI	H. sapiens
0.0595760615521464	DNABD	YRI	H. sapiens
0.059507592783071	DNABD	YRI	H. sapiens
0.0401467367173198	DNABD	YRI	H. sapiens
0.0553354326138296	DNABD	YRI	H. sapiens
0.0536793719043877	DNABD	YRI	H. sapiens
0.0599937051454481	DNABD	YRI	H. sapiens
0.0499304163124845	DNABD	YRI	H. sapiens
0.06032230653209	DNABD	YRI	H. sapiens
0.058500023373683	DNABD	YRI	H. sapiens
0.075789831491052	DNABD	YRI	H. sapiens
0.056176757539635	DNABD	YRI	H. sapiens
0.0612833275241638	DNABD	YRI	H. sapiens
0.0559986708850998	DNABD	YRI	H. sapiens
0.0661654913821746	DNABD	YRI	H. sapiens
0.0430454095662264	DNABD	YRI	H. sapiens
0.0667054351446211	DNABD	YRI	H. sapiens
0.0579911586281429	DNABD	YRI	H. sapiens
0.0484931775036083	DNABD	YRI	H. sapiens
0.0559400334261866	DNABD	YRI	H. sapiens
0.0637787879992612	DNABD	YRI	H. sapiens
0.0471070969787845	DNABD	YRI	H. sapiens
0.0454121505331007	DNABD	YRI	H. sapiens
0.0531366974320424	DNABD	YRI	H. sapiens
0.0649504813341061	DNABD	YRI	H. sapiens
0.0795760370513279	DNABD	YRI	H. sapiens
0.048045519945165	DNABD	YRI	H. sapiens
0.0798692528097436	DNABD	YRI	H. sapiens
0.0501434130667633	DNABD	YRI	H. sapiens
0.0622154998863602	DNABD	YRI	H. sapiens
0.0529692024279803	DNABD	YRI	H. sapiens
0.0378866425156615	DNABD	YRI	H. sapiens
0.0548770501471312	DNABD	YRI	H. sapiens
0.0479503799967273	DNABD	YRI	H. sapiens
0.0437744867608169	DNABD	YRI	H. sapiens
0.0639456781821264	DNABD	YRI	H. sapiens
0.0512994026946845	DNABD	YRI	H. sapiens
0.0499808616174991	DNABD	YRI	H. sapiens
0.0519796479929513	DNABD	YRI	H. sapiens
0.0555256451317831	DNABD	YRI	H. sapiens
0.0602878240308966	DNABD	YRI	H. sapiens
0.0700057390845726	DNABD	YRI	H. sapiens
0.0425649422329231	DNABD	YRI	H. sapiens
0.0598916711486578	DNABD	YRI	H. sapiens
0.0573940230411892	DNABD	YRI	H. sapiens
0.0726871095821556	DNABD	YRI	H. sapiens
0.055098247211405	DNABD	YRI	H. sapiens
0.0468321701951207	DNABD	YRI	H. sapiens
0.0653868350797	DNABD	YRI	H. sapiens
0.0533419549266457	DNABD	YRI	H. sapiens
0.0460781555599271	DNABD	YRI	H. sapiens
0.0502676472644635	DNABD	YRI	H. sapiens
0.0551604856525284	DNABD	YRI	H. sapiens
0.0706046649869626	DNABD	YRI	H. sapiens
0.0521654601841594	DNABD	YRI	H. sapiens
0.0580997558530714	DNABD	YRI	H. sapiens
0.0666164507387627	DNABD	YRI	H. sapiens
0.051432551345615	DNABD	YRI	H. sapiens
0.0593386435018792	DNABD	YRI	H. sapiens
0.0530547307555087	DNABD	YRI	H. sapiens
0.0337136374787151	DNABD	YRI	H. sapiens
0.0561397292188921	DNABD	YRI	H. sapiens
0.0535397639572215	DNABD	YRI	H. sapiens
0.0539797250904581	DNABD	YRI	H. sapiens
0.0481001949479162	DNABD	YRI	H. sapiens
0.0660916734666527	DNABD	YRI	H. sapiens
0.0486038392085683	DNABD	YRI	H. sapiens
0.0763080052152558	DNABD	YRI	H. sapiens
0.0553885173135301	DNABD	YRI	H. sapiens
0.0594033734353032	DNABD	YRI	H. sapiens
0.0655047070962546	DNABD	YRI	H. sapiens
0.0557125383781652	DNABD	YRI	H. sapiens
0.0692629827383512	DNABD	YRI	H. sapiens
0.0933815339179027	DNABD	YRI	H. sapiens
0.0610142560495063	DNABD	YRI	H. sapiens
0.0513817932016834	DNABD	YRI	H. sapiens
0.0521314047605173	DNABD	YRI	H. sapiens
0.0442140098284678	DNABD	YRI	H. sapiens
0.055693643215752	DNABD	YRI	H. sapiens
0.0455073875003583	DNABD	YRI	H. sapiens
0.041131053566558	DNABD	YRI	H. sapiens
0.0515081351681511	DNABD	YRI	H. sapiens
0.0706897022580685	DNABD	YRI	H. sapiens
0.0615524363482368	DNABD	YRI	H. sapiens
