pin_pis	region	pop	species
0.317071737640951	WGS	YRI	H. sapiens
0.317918325380936	WGS	YRI	H. sapiens
0.28745239670902	WGS	YRI	H. sapiens
0.23074328569844	WGS	YRI	H. sapiens
0.235221425386619	WGS	YRI	H. sapiens
0.317324573318636	WGS	YRI	H. sapiens
0.266122741253823	WGS	YRI	H. sapiens
0.270522131531045	WGS	YRI	H. sapiens
0.293247078019776	WGS	YRI	H. sapiens
0.278994061493038	WGS	YRI	H. sapiens
0.263454396434703	WGS	YRI	H. sapiens
0.299281948380274	WGS	YRI	H. sapiens
0.285575846379497	WGS	YRI	H. sapiens
0.303309569122574	WGS	YRI	H. sapiens
0.268728516100641	WGS	YRI	H. sapiens
0.307804503585395	WGS	YRI	H. sapiens
0.267344540964544	WGS	YRI	H. sapiens
0.252949989536574	WGS	YRI	H. sapiens
0.246738562748122	WGS	YRI	H. sapiens
0.261740647803442	WGS	YRI	H. sapiens
0.289228601694063	WGS	YRI	H. sapiens
0.302287127201006	WGS	YRI	H. sapiens
0.269816892064366	WGS	YRI	H. sapiens
0.269374477495726	WGS	YRI	H. sapiens
0.289006074399113	WGS	YRI	H. sapiens
0.334088210416318	WGS	YRI	H. sapiens
0.316579509128869	WGS	YRI	H. sapiens
0.289357509694923	WGS	YRI	H. sapiens
0.294406810312005	WGS	YRI	H. sapiens
0.310725756812651	WGS	YRI	H. sapiens
0.2914847815943	WGS	YRI	H. sapiens
0.264715542990053	WGS	YRI	H. sapiens
0.267550070606177	WGS	YRI	H. sapiens
0.273132392669329	WGS	YRI	H. sapiens
0.272421334738211	WGS	YRI	H. sapiens
0.306587494442488	WGS	YRI	H. sapiens
0.304648407843239	WGS	YRI	H. sapiens
0.3295153945305	WGS	YRI	H. sapiens
0.33382023970305	WGS	YRI	H. sapiens
0.333213703798879	WGS	YRI	H. sapiens
0.27223984490276	WGS	YRI	H. sapiens
0.313442725478582	WGS	YRI	H. sapiens
0.255610690809022	WGS	YRI	H. sapiens
0.323718575153168	WGS	YRI	H. sapiens
0.29621028202383	WGS	YRI	H. sapiens
0.279775077779709	WGS	YRI	H. sapiens
0.302710030114965	WGS	YRI	H. sapiens
0.27484942761708	WGS	YRI	H. sapiens
0.264539712823789	WGS	YRI	H. sapiens
0.270157658212734	WGS	YRI	H. sapiens
0.323647778743157	WGS	YRI	H. sapiens
0.248260533684168	WGS	YRI	H. sapiens
0.301994035665308	WGS	YRI	H. sapiens
0.32404191881509	WGS	YRI	H. sapiens
0.295539841359607	WGS	YRI	H. sapiens
0.279647163072336	WGS	YRI	H. sapiens
0.326239174460502	WGS	YRI	H. sapiens
0.295862727712013	WGS	YRI	H. sapiens
0.285238593450029	WGS	YRI	H. sapiens
0.296597007596057	WGS	YRI	H. sapiens
0.265023760039051	WGS	YRI	H. sapiens
0.30944284001094	WGS	YRI	H. sapiens
0.251673542167505	WGS	YRI	H. sapiens
0.285069619980458	WGS	YRI	H. sapiens
0.291647807595691	WGS	YRI	H. sapiens
0.285060800701907	WGS	YRI	H. sapiens
0.288790057012136	WGS	YRI	H. sapiens
0.30987421284659	WGS	YRI	H. sapiens
